candidate_id,source_run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas,artifact_path,artifact_sha256
V2,research-sp31-v2-isolated-benchmark,checkedWitnessGas,857,,,,,,,,,,,,research/runs/research-sp31-v2-isolated-benchmark.json,4e6f1fd69b63fe87538001f9776282bdddd885d9db5e3a695989478facdc6ef9
V2,research-sp31-v2-isolated-benchmark,exponentiationGas,9353,,,,,,,,,,,,research/runs/research-sp31-v2-isolated-benchmark.json,4e6f1fd69b63fe87538001f9776282bdddd885d9db5e3a695989478facdc6ef9
V3,research-sp31-v3-isolated-benchmark,fusedParseDotGas,210353,,,,,,,,,,,,research/runs/research-sp31-v3-isolated-benchmark.json,3a407fb89e5cd3cd9670f7e26a2ea3f2fe64ebf19202f31dc1824b0be21c691b
V3,research-sp31-v3-isolated-benchmark,separateParseDotGas,849780,,,,,,,,,,,,research/runs/research-sp31-v3-isolated-benchmark.json,3a407fb89e5cd3cd9670f7e26a2ea3f2fe64ebf19202f31dc1824b0be21c691b
V4,research-sp31-v4-isolated-benchmark,calldataEvaluationGas,127811,,,,,,,,,,,,research/runs/research-sp31-v4-isolated-benchmark.json,d85912075dd40b23ea2b9fd7c4f851ac7bd899b93902e4fe67f4fee9a60fbca0
V4,research-sp31-v4-isolated-benchmark,copiedEvaluationGas,663476,,,,,,,,,,,,research/runs/research-sp31-v4-isolated-benchmark.json,d85912075dd40b23ea2b9fd7c4f851ac7bd899b93902e4fe67f4fee9a60fbca0
V5,research-sp31-v5-isolated-benchmark,checkedCalldataTableGas,89183,,,,,,,,,,,,research/runs/research-sp31-v5-isolated-benchmark.json,27308eb23f591036010ceef10a81ce6c7d0fb1dabb05e34adc9661f91580b012
V5,research-sp31-v5-isolated-benchmark,derivedTableGas,3028,,,,,,,,,,,,research/runs/research-sp31-v5-isolated-benchmark.json,27308eb23f591036010ceef10a81ce6c7d0fb1dabb05e34adc9661f91580b012
V5,research-sp31-v5-isolated-benchmark,fixedTableGas,8652,,,,,,,,,,,,research/runs/research-sp31-v5-isolated-benchmark.json,27308eb23f591036010ceef10a81ce6c7d0fb1dabb05e34adc9661f91580b012
V6,research-sp31-v6-isolated-benchmark,checkedPointsGas,21451,,,,,,,,,,,,research/runs/research-sp31-v6-isolated-benchmark.json,0e89b2cd45872f1d229f513a52aa60227af192981602d9d665c182ee7c5cef98
V6,research-sp31-v6-isolated-benchmark,exponentiationGas,48640,,,,,,,,,,,,research/runs/research-sp31-v6-isolated-benchmark.json,0e89b2cd45872f1d229f513a52aa60227af192981602d9d665c182ee7c5cef98
V6,research-sp31-v6-isolated-benchmark,fixedTable8Gas,1748,,,,,,,,,,,,research/runs/research-sp31-v6-isolated-benchmark.json,0e89b2cd45872f1d229f513a52aa60227af192981602d9d665c182ee7c5cef98
