candidate_id,run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas
F5,research-sp40-f5-field-benchmark,F5/op5/n1,9639,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op6/n1,8994,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op7/n1,9104,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op8/n1,8764,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op9/n1,8786,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N1.nullifier,23581,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N1.same_user_pull_credit,45807,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N1.unrelated_user_pull_credit,45807,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N16.nullifier,387798,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N16.same_user_pull_credit,65999,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N16.unrelated_user_pull_credit,722999,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N2.nullifier,46682,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N2.same_user_pull_credit,47170,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N2.unrelated_user_pull_credit,90970,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N32.nullifier,818629,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N32.same_user_pull_credit,87462,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N32.unrelated_user_pull_credit,1445262,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N4.nullifier,93374,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N4.same_user_pull_credit,49873,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N4.unrelated_user_pull_credit,181273,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N64.nullifier,1811596,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N64.same_user_pull_credit,130365,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N64.unrelated_user_pull_credit,2889765,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N8.nullifier,188787,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N8.same_user_pull_credit,55256,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,N8.unrelated_user_pull_credit,361856,,,,,,,,,,,
SP-70,research-sp70-sp-70-foundry-components,successful_pull_claim,32656,,,,,,,,,,,
SP-72,research-sp72-sp-72-foundry-harness,cleanup_gross,6671,,,,,,,,,,,
SP-72,research-sp72-sp-72-foundry-harness,part_a,357199,,,,,,,,,,,
SP-72,research-sp72-sp-72-foundry-harness,part_b_gross,78039,,,,,,,,,,,
C00/v03-baseline,v03-corpus-01,WITHDRAW_A,15054181,1714540,4254850,16768721,6834952,16768721,10241928,16768721,8495,7494,12867,0
C00/v03-baseline,v03-corpus-01,WITHDRAW_B,12352236,1715600,4257500,14067836,6839048,14067836,10248072,14067836,2709380,7494,12867,0
C00/v03-baseline,v03-corpus-01,pool_a_execution,15054181,,,,,,,,,,,
C00/v03-baseline,v03-corpus-01,pool_a_standard_intrinsic,1714540,,,,,,,,,,,
C00/v03-baseline,v03-corpus-01,pool_b_execution,12352236,,,,,,,,,,,
C00/v03-baseline,v03-corpus-01,pool_b_standard_intrinsic,1715600,,,,,,,,,,,
C00/v03-baseline,v03-corpus-02,WITHDRAW_A,15014251,1696252,4209130,16710503,6761224,16710503,10131336,16710503,66713,7494,12867,0
C00/v03-baseline,v03-corpus-02,WITHDRAW_B,12026735,1575672,3907680,13602407,6277896,13602407,9406344,13602407,3174809,7494,12867,0
C00/v03-baseline,v03-corpus-02,pool_a_execution,15014251,,,,,,,,,,,
C00/v03-baseline,v03-corpus-02,pool_a_standard_intrinsic,1696252,,,,,,,,,,,
C00/v03-baseline,v03-corpus-02,pool_b_execution,12026735,,,,,,,,,,,
C00/v03-baseline,v03-corpus-02,pool_b_standard_intrinsic,1575672,,,,,,,,,,,
C00/v03-baseline,v03-corpus-03,WITHDRAW_A,14971912,1694312,4204280,16666224,6753032,16666224,10119048,16666224,110992,7494,12867,0
C00/v03-baseline,v03-corpus-03,WITHDRAW_B,12297228,1687396,4186990,13984624,6724360,13984624,10076040,13984624,2792592,7494,12867,0
C00/v03-baseline,v03-corpus-03,pool_a_execution,14971912,,,,,,,,,,,
C00/v03-baseline,v03-corpus-03,pool_a_standard_intrinsic,1694312,,,,,,,,,,,
C00/v03-baseline,v03-corpus-03,pool_b_execution,12297228,,,,,,,,,,,
C00/v03-baseline,v03-corpus-03,pool_b_standard_intrinsic,1687396,,,,,,,,,,,
