network,chain_id,payload_family,payload_kib,calldata_bytes,payload_sha256,payload_keccak256,calldata_zero_bytes,calldata_nonzero_bytes,eip7623_tokens,regular_intrinsic_gas,eip7623_floor_gas,no_op_calldata_gas,tx_type,tx_nonce,tx_gas_limit,signed_tx_bytes,signed_tx_keccak256,ordinary_sequencer_size_limit_bytes,admission_projection,gas_limit_feasibility,verifier_execution
arbitrum-one,42161,repeated,210,215040,d793b0f5fe1c567ad11eec2623e5bd8beec845fb7270e0fa28345bf3c3427d8c,0x8d00fcfbced010a80d8c3962d478c822602f25401cdfa6b0be3d9158e415c5e9,0,215040,860160,3461640,8622600,8622600,EIP-1559_TYPE_2,7,32000000,215159,0xd68d3f1f64d44ca00c45232ca9b9f5f12f502f87bcf0a13535740ff28e8e7b3e,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,80,81920,00cb44f9a123a5c28bed5a320d03b6ebf8e6cccbdb580de54bf424211e2fcfa4,0x4212dadf98ea3db39bdb3bd56577f2ec29f3dabc396b09f7aedeaccb36a6e8e9,307,81613,326759,1328036,3288590,3288590,EIP-1559_TYPE_2,7,10000000,82039,0x07e2db59a9ee730bc54f1f127d17a22984e7f3dc8402ed488e3df2384098b7b7,116736,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,90,92160,1150df739d4d09dc265e1e44f58fdcc2017e3a6a80cbf4006754ea56836eb159,0xf93741cf2d2e95d9fe4f19b1884be50eb644359136053239e8d64e20eca635e8,365,91795,367545,1491180,3696450,3696450,EIP-1559_TYPE_2,7,10000000,92278,0x1c622b78516471bbcb0674de255afbbfcc14d5ea9b990547b33ad845e72a3731,116736,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,110,112640,7a426adfd5e6c9c9810a83b6b3ea5b5576432683369e671c39533ad514b64318,0x301e2e9703a1128e3df5fd1e8e2a9d54a1179bb931ec905d2e7f0452e23b3afa,410,112230,449330,1818320,4514300,4514300,EIP-1559_TYPE_2,7,10000000,112759,0xc21367fe2476e4663ddde3756c5d813490f4dcef33d68a0def30f0660fba8eaa,116736,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,116,118784,f12ffa932f5799ca7a258be28f9e96401880c29d343ce627c5be7678d6f90d68,0x685c7e34017d2a33819edb013fc2a308dcd63004ce61c1c75d316044b52176c9,447,118337,473795,1916180,4758950,4758950,EIP-1559_TYPE_2,7,10000000,118903,0xab6ef894e5662854f5f38f831a0dced9c47bfb999a287b3c3f5139d36a899d36,116736,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,120,122880,84bfbcff42157a456c2be8cfcd0c0a6988274e9b41746a0f7f0ae060caacdb66,0x82312c4adf39f3f4acb09e19b227a4160692007c820d5e7ad2216d61524dcd80,459,122421,490143,1981572,4922430,4922430,EIP-1559_TYPE_2,7,10000000,122999,0x65e76832533a884696ab6bd91756cd9e3c0b36c863f454dcccf7107b2509eab5,116736,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,128,131072,7cfd2fd48debe92c676705b8df48ce75a5f8fdb1dca248a6dc430e93610e2ed7,0xf1b46a3bba57e25c5d83e42e61c607010d8ce229b66cf69ac53e6225b6ad96c4,470,130602,522878,2112512,5249780,5249780,EIP-1559_TYPE_2,7,10000000,131191,0x084da216a12fd588cdfdc0aecbfa84577ea94111f4dcd98673048a1b4a947e03,116736,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,160,163840,aefc8d3913fd8d8ef6bf7c1133ab8b597b5c1207888d823013137033fa2e8359,0x4a9d82f02038b0d46509b220d0700ea9ec0afb908f8ca8bf293e4902a95d5db4,583,163257,653611,2635444,6557110,6557110,EIP-1559_TYPE_2,7,10000000,163959,0xce2c4d5670ee6d09955cf5a0aeb8815951c18ff2067be4606dab4d3e72161081,116736,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,seeded-incompressible,210,215040,f7ce06a42ebb0aa084aadbb60f593fcfe81223fa7ad36ed21ca63c0c11a467fa,0x5385d1c5a0a7d45828ce8c167edc73b53c405cbaca5871177b08d050265932cc,865,214175,857565,3451260,8596650,8596650,EIP-1559_TYPE_2,7,10000000,215159,0x7b23e549070bac8f90a19a048cdd4a4f58531b45b866c046db8676cebcfb6c32,116736,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
scroll-mainnet,534352,repeated,80,81920,c4c8c051d41c36976aa168eb94ddaec9c1a6fa6304b517a3aaaf7935fffce6b2,0x648062204319613e3a3bc5cc50419817f6b895c062c29c509818eeb3ede87b4e,0,81920,327680,1331720,3297800,3297800,EIP-1559_TYPE_2,7,10000000,82039,0xc60bc3c78cbed9786d964f713e7f3ca588536bfc268bec0cca45661cce8825b1,116736,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
