regime,transaction,kind,component,gas,receipt_success,evidence
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,inverse_calculations,1457115,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,mmcs_hashing_paths,2743721,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,nullifier_write,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,ood_quotient,14331,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,other_state,63314,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,parse_canonicality,1069951,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,payout_calls,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,public_statement,792581,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,row_reductions,2494596,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,transcript_challenges,1674895,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,standard_intrinsic,1749728,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,code_deposit,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,reconciliation_residual,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
